id,year,marital,age,educ,race,income,xnorcsiz,partyid,ballot
19721,1972,5,23,16,1,-100,3,2,-100
19722,1972,1,70,10,1,-100,3,1,-100
19723,1972,1,48,12,1,-100,3,3,-100
19724,1972,1,27,17,1,-100,3,1,-100
19725,1972,1,61,12,1,-100,3,0,-100
19726,1972,5,26,14,1,-100,3,2,-100
19727,1972,3,28,13,1,-100,3,2,-100
19728,1972,5,27,16,1,-100,3,2,-100
19729,1972,5,21,12,2,-100,2,0,-100
197210,1972,1,30,12,2,-100,2,0,-100
197211,1972,1,30,13,2,-100,2,0,-100
197212,1972,1,56,6,2,-100,2,5,-100
197213,1972,1,54,9,2,-100,2,0,-100
197214,1972,3,49,8,2,-100,2,1,-100
197215,1972,1,41,9,2,-100,2,0,-100
197216,1972,1,54,14,2,-100,2,0,-100
197217,1972,1,24,14,1,-100,2,4,-100
197218,1972,1,62,8,1,-100,2,4,-100
197219,1972,1,46,17,1,-100,2,2,-100
197220,1972,5,21,14,1,-100,2,4,-100
197221,1972,1,57,12,1,-100,2,2,-100
197222,1972,1,58,11,1,-100,2,1,-100
197223,1972,1,21,13,1,-100,2,2,-100
197224,1972,1,26,12,1,-100,2,4,-100
197225,1972,1,71,16,1,-100,10,6,-100
197226,1972,1,53,12,1,-100,10,4,-100
197227,1972,1,42,12,1,-100,10,3,-100
197228,1972,1,42,12,1,-100,10,2,-100
197229,1972,1,20,12,1,-100,10,3,-100
197230,1972,1,23,9,1,-100,10,5,-100
197231,1972,1,26,6,1,-100,10,6,-100
197232,1972,1,25,14,1,-100,7,4,-100
197233,1972,5,26,16,1,-100,7,0,-100
197234,1972,1,78,8,1,-100,7,5,-100
197235,1972,1,21,12,1,-100,7,2,-100
197236,1972,1,27,14,1,-100,7,1,-100
197237,1972,1,58,13,1,-100,7,5,-100
197238,1972,1,35,10,1,-100,10,1,-100
197239,1972,5,58,6,1,-100,10,6,-100
197240,1972,1,51,12,1,-100,10,5,-100
197241,1972,2,76,8,1,-100,10,0,-100
197242,1972,1,53,14,1,-100,10,5,-100
197243,1972,1,39,8,1,-100,10,4,-100
197244,1972,1,64,8,1,-100,10,2,-100
197245,1972,1,50,8,1,-100,10,5,-100
197246,1972,1,27,12,1,-100,10,3,-100
197247,1972,5,25,14,1,-100,10,1,-100
197248,1972,1,49,12,1,-100,10,7,-100
197249,1972,1,40,9,1,-100,10,1,-100
197250,1972,1,43,8,1,-100,10,6,-100
197251,1972,1,46,10,1,-100,1,0,-100
197252,1972,1,37,14,1,-100,1,2,-100
197253,1972,1,46,9,1,-100,3,2,-100
197254,1972,1,22,12,1,-100,1,4,-100
197255,1972,1,53,10,1,-100,1,0,-100
197256,1972,1,35,12,1,-100,1,3,-100
197257,1972,1,31,14,1,-100,1,0,-100
197258,1972,1,30,12,1,-100,1,0,-100
197259,1972,1,37,12,1,-100,10,0,-100
197260,1972,1,57,11,1,-100,10,1,-100
197261,1972,1,39,12,1,-100,10,5,-100
197262,1972,1,62,9,1,-100,10,5,-100
197263,1972,1,51,12,1,-100,10,6,-100
197264,1972,1,43,11,1,-100,10,6,-100
197265,1972,1,39,12,1,-100,10,5,-100
197266,1972,1,52,8,1,-100,3,7,-100
197267,1972,1,30,12,1,-100,3,7,-100
197268,1972,1,47,12,1,-100,3,3,-100
197269,1972,5,31,12,1,-100,3,2,-100
197270,1972,1,25,16,1,-100,3,5,-100
197271,1972,1,45,7,1,-100,3,1,-100
197272,1972,1,30,12,1,-100,3,2,-100
197273,1972,1,68,8,1,-100,3,5,-100
197274,1972,1,63,11,1,-100,3,3,-100
197275,1972,5,19,12,1,-100,1,1,-100
197276,1972,5,23,16,1,-100,1,2,-100
197277,1972,1,46,10,1,-100,1,1,-100
