Date,Temp low,Temp high,Summary,Precipitation probability ,Precipitation type,Precipitation accumulation,Icon,Image,Image URL
1/18/2024,19.76,31.82,Cloudy. Cold.,2,rain,,cloudy,02d.png,https://openweathermap.org/img/wn/02d.png
1/19/2024,19.4,29.48,Light snow late. Overcast. Cold.,43,snow,0.45,snow,13d.png,https://openweathermap.org/img/wn/13d.png
1/20/2024,14.54,20.3,Light snow late. Cloudy. Cold.,38,snow,0.59,snow,13d.png,https://openweathermap.org/img/wn/13d.png
1/21/2024,13.82,24.98,Sunny. Cold.,5,rain,,clear-day,01d.png,https://openweathermap.org/img/wn/01d.png
1/22/2024,15.08,37.22,Light snow late. Afternoon clouds. Chilly.,22,snow,0.24,snow,13d.png,https://openweathermap.org/img/wn/13d.png
1/23/2024,30.92,38.12,Light snow late. Overcast. Chilly.,60,snow,0.24,snow,13d.png,https://openweathermap.org/img/wn/13d.png
1/24/2024,31.64,39.02,Snow changing to rain. Overcast. Chilly.,87,sleet,1,sleet,13d.png,https://openweathermap.org/img/wn/13d.png
1/25/2024,38.84,48.02,Sprinkles early. Overcast. Cool.,91,rain,,rain,10d.png,https://openweathermap.org/img/wn/10d.png
1/26/2024,37.58,41.9,Rain. Overcast. Cool.,99,rain,,rain,10d.png,https://openweathermap.org/img/wn/10d.png
1/27/2024,34.7,39.74,Sprinkles early. Overcast. Chilly.,45,rain,,rain,10d.png,https://openweathermap.org/img/wn/10d.png
1/28/2024,34.7,37.76,Light mixture of precip. Overcast. Chilly.,99,sleet,0.18,sleet,13d.png,https://openweathermap.org/img/wn/13d.png
1/29/2024,30.2,37.76,Snow changing to rain. Overcast. Chilly.,90,sleet,1.78,sleet,13d.png,https://openweathermap.org/img/wn/13d.png
1/30/2024,21.2,32.72,Light snow early. Overcast. Cold.,45,snow,0.37,snow,13d.png,https://openweathermap.org/img/wn/13d.png
1/31/2024,20.84,36.14,Overcast. Chilly.,2,rain,,cloudy,02d.png,https://openweathermap.org/img/wn/02d.png
